Id;Name; Latitude ; Longitude ;Height (m);Active; AirPreasureStation ;link
172940;Paharova A; 66.81 ; 22.33 ;227.643;Ja; 9-172940-Paharova_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/172940/period/corrected-archive/data.csv
183760;Pajala; 67.21 ; 23.39 ;168;Nej; 9-183760-Pajala.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/183760/period/corrected-archive/data.csv
183750;Pajala A; 67.20 ; 23.39 ;163.774;Ja; 9-183750-Pajala_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/183750/period/corrected-archive/data.csv
182910;Parkalompolo A; 67.73 ; 22.82 ;312.183;Ja; 9-182910-Parkalompolo_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/182910/period/corrected-archive/data.csv
161710;Pite-Rönnskär A; 65.03 ; 21.56 ;4.878;Ja; 9-161710-Pite-Rönnskär_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/161710/period/corrected-archive/data.csv
161790;Piteå; 65.32 ; 21.49 ;6;Nej; 9-161790-Piteå.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/161790/period/corrected-archive/data.csv
161770;Pitsund; 65.23 ; 21.52 ;8;Nej; 9-161770-Pitsund.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/161770/period/corrected-archive/data.csv
171820;Pålkem M; 66.39 ; 21.62 ;261;Nej; 9-171820-Pålkem_M.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/171820/period/corrected-archive/data.csv
169930;Randijaur; 66.76 ; 19.32 ;290;Nej; 9-169930-Randijaur.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/169930/period/corrected-archive/data.csv
95490;Riddarhyttan; 59.81 ; 15.56 ;155;Nej; 9-95490-Riddarhyttan.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/95490/period/corrected-archive/data.csv
188830;Riksgränsen; 68.43 ; 18.13 ;508;Nej; 9-188830-Riksgränsen.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/188830/period/corrected-archive/data.csv
97100;Riksten; 59.18 ; 17.92 ;54;Nej; 9-97100-Riksten.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/97100/period/corrected-archive/data.csv
64600;Rinkaby; 55.98 ; 14.27 ;7;Nej; 9-64600-Rinkaby.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/64600/period/corrected-archive/data.csv
147420;Risträsk V; 64.73 ; 17.40 ;598;Nej; 9-147420-Risträsk_V.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/147420/period/corrected-archive/data.csv
177920;Ritsem; 67.73 ; 17.47 ;521;Nej; 9-177920-Ritsem.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/177920/period/corrected-archive/data.csv
177930;Ritsem A; 67.73 ; 17.47 ;541.214;Ja; 9-177930-Ritsem_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/177930/period/corrected-archive/data.csv
65160;Ronneby-Bredåkra; 56.27 ; 15.27 ;58.2;Ja; 9-65160-Ronneby-Bredåkra.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/65160/period/corrected-archive/data.csv
73480;Rångedala A; 57.78 ; 13.16 ;297.467;Ja; 9-73480-Rångedala_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/73480/period/corrected-archive/data.csv
162790;Rödkallen; 65.31 ; 22.37 ;5;Nej; 9-162790-Rödkallen.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/162790/period/corrected-archive/data.csv
96560;Sala A; 59.91 ; 16.68 ;56.575;Ja; 9-96560-Sala_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/96560/period/corrected-archive/data.csv
178680;Saltoluokta; 67.38 ; 18.55 ;393;Nej; 9-178680-Saltoluokta.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/178680/period/corrected-archive/data.csv
54230;Sandhammaren; 55.39 ; 14.19 ;4;Nej; 9-54230-Sandhammaren.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/54230/period/corrected-archive/data.csv
54330;Simrishamn; 55.54 ; 14.36 ;13;Nej; 9-54330-Simrishamn.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/54330/period/corrected-archive/data.csv
108100;Singö; 60.16 ; 18.74 ;12;Nej; 9-108100-Singö.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/108100/period/corrected-archive/data.csv
139110;Skagsudde; 63.19 ; 19.02 ;13;Nej; 9-139110-Skagsudde.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/139110/period/corrected-archive/data.csv
83270;Skara; 58.40 ; 13.45 ;119;Nej; 9-83270-Skara.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/83270/period/corrected-archive/data.csv
83620;Skara; 58.40 ; 13.45 ;116;Nej; 9-83620-Skara.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/83620/period/corrected-archive/data.csv
83240;Skara-Ekeberg; 58.40 ; 13.55 ;130;Nej; 9-83240-Skara-Ekeberg.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/83240/period/corrected-archive/data.csv
83200;Skara-Stenum; 58.37 ; 13.52 ;130;Nej; 9-83200-Skara-Stenum.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/83200/period/corrected-archive/data.csv
83260;Skara-Västerskog; 58.38 ; 13.33 ;105;Nej; 9-83260-Skara-Västerskog.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/83260/period/corrected-archive/data.csv
151380;Skellefteå Flygplats; 64.62 ; 21.07 ;48;Ja; 9-151380-Skellefteå_Flygplats.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/151380/period/corrected-archive/data.csv
54290;Skillinge A; 55.49 ; 14.31 ;4.016;Ja; 9-54290-Skillinge_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/54290/period/corrected-archive/data.csv
124390;Skålan; 62.65 ; 14.17 ;452;Nej; 9-124390-Skålan.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/124390/period/corrected-archive/data.csv
53200;Smygehuk; 55.34 ; 13.36 ;5;Nej; 9-53200-Smygehuk.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/53200/period/corrected-archive/data.csv
84580;Snavlunda; 58.97 ; 14.90 ;144;Nej; 9-84580-Snavlunda.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/84580/period/corrected-archive/data.csv
88580;Stabbo; 58.97 ; 18.45 ;7;Nej; 9-88580-Stabbo.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/88580/period/corrected-archive/data.csv
98160;Stavsnäs Aut; 59.30 ; 18.71 ;1;Nej; 9-98160-Stavsnäs_Aut.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/98160/period/corrected-archive/data.csv
154730;Stekenjokk A; 65.09 ; 14.51 ;1037.322;Ja; 9-154730-Stekenjokk_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/154730/period/corrected-archive/data.csv
157720;Stensele; 65.06 ; 17.19 ;329;Nej; 9-157720-Stensele.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/157720/period/corrected-archive/data.csv
54400;Stenshuvud; 55.66 ; 14.26 ;112;Nej; 9-54400-Stenshuvud.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/54400/period/corrected-archive/data.csv
167860;Stenudden; 66.53 ; 17.67 ;453;Nej; 9-167860-Stenudden.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/167860/period/corrected-archive/data.csv
98210;Stockholm; 59.34 ; 18.05 ;43.133;Ja; 9-98210-Stockholm.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/98210/period/corrected-archive/data.csv
98230;Stockholm A; 59.34 ; 18.05 ;43.133;Ja; 9-98230-Stockholm_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/98230/period/corrected-archive/data.csv
97400;Stockholm-Arlanda; 59.63 ; 17.95 ;42;Ja; 9-97400-Stockholm-Arlanda.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/97400/period/corrected-archive/data.csv
97200;Stockholm-Bromma; 59.35 ; 17.95 ;14;Ja; 9-97200-Stockholm-Bromma.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/97200/period/corrected-archive/data.csv
105220;Stora Spånsberget A; 60.38 ; 15.14 ;492.257;Ja; 9-105220-Stora_Spånsberget_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/105220/period/corrected-archive/data.csv
158850;Storberg; 65.51 ; 18.95 ;453;Nej; 9-158850-Storberg.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/158850/period/corrected-archive/data.csv
132620;Storlien; 63.32 ; 12.10 ;595;Nej; 9-132620-Storlien.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/132620/period/corrected-archive/data.csv
132170;Storlien-Storvallen A; 63.28 ; 12.12 ;583.124;Ja; 9-132170-Storlien-Storvallen_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/132170/period/corrected-archive/data.csv
132180;Storlien-Visjövalen; 63.30 ; 12.13 ;642;Nej; 9-132180-Storlien-Visjövalen.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/132180/period/corrected-archive/data.csv
